frame_count,1-h,1-s,1-v,condition,2-h,2-s,2-v,condition,3-h,3-s,3-v,conditon,4-h,4-s,4-v,condition,
326,168,255,255,,169,255,255,,170,255,255,,170,255,255,,
327,168,255,255,,169,255,255,,171,255,255,,170,255,255,,
328,168,255,255,,169,255,255,,171,255,255,,170,255,255,,
329,168,255,255,,169,255,255,,170,255,255,,168,255,255,,
330,168,255,255,,169,255,255,,171,255,255,,168,255,255,,
331,168,255,255,,169,255,255,,169,255,255,,168,255,255,,
332,168,255,255,,170,255,255,,169,255,255,,168,255,255,,
333,168,255,255,,170,255,255,,170,255,255,,168,255,255,,
334,168,255,255,,170,255,255,,170,255,255,,168,255,255,,
335,169,255,255,,170,255,255,,170,255,255,,168,255,255,,
336,169,255,255,,170,255,255,,169,255,255,,168,255,255,,
337,169,255,255,,170,255,255,,169,255,255,,168,255,255,,
338,168,255,255,,170,255,255,,169,255,255,,169,255,255,,
339,168,255,255,,170,255,255,,169,255,255,,169,255,255,,
340,168,255,255,,170,255,255,,169,255,255,,169,255,255,,
341,170,255,255,,170,255,255,,169,255,255,,169,255,255,,
342,170,255,255,,170,255,255,,169,255,255,,169,255,255,,
343,170,255,255,,170,255,255,,170,255,255,,169,255,255,,
344,170,255,255,,170,255,255,,170,255,255,,169,255,255,,
345,169,255,255,,170,255,255,,170,255,255,,170,255,255,,
346,168,255,255,,169,255,255,,169,255,255,,170,255,255,,
347,168,255,255,,169,255,255,,169,255,255,,170,255,255,,
348,170,255,255,,169,255,255,,169,255,255,,169,255,255,,
349,168,255,255,,170,255,255,,169,255,255,,170,255,255,,
350,168,255,255,,169,255,255,,169,255,255,,169,255,255,,
351,168,255,255,,170,255,255,,169,255,255,,169,255,255,,
352,168,255,255,,170,255,255,,169,255,255,,169,255,255,,
353,168,255,255,,169,255,255,,169,255,255,,169,255,255,,
354,169,255,255,,169,255,255,,169,255,255,,169,255,255,,
355,169,255,255,,169,255,255,,169,255,255,,169,255,255,,
356,170,255,255,,169,255,255,,169,255,255,,169,255,255,,
357,169,255,255,,169,255,255,,169,255,255,,169,255,255,,
358,169,255,255,,170,255,255,,169,255,255,,168,255,255,,
359,169,255,255,,169,255,255,,168,255,255,,168,255,255,,
360,169,255,255,,170,255,255,,168,255,255,,168,255,255,,
361,169,255,255,,169,255,255,,169,255,255,,168,255,255,,
362,169,255,255,,169,255,255,,168,255,255,,169,255,255,,
363,169,255,255,,169,255,255,,168,255,255,,169,255,255,,
364,170,255,255,,170,255,255,,170,255,255,,169,255,255,,
365,170,255,255,,170,255,255,,169,255,255,,169,255,255,,
366,170,255,255,,169,255,255,,169,255,255,,169,255,255,,
367,169,255,255,,170,255,255,,169,255,255,,169,255,255,,
368,170,255,255,,169,255,255,,168,255,255,,169,255,255,,
