frame_count,1-h,1-s,1-v,2-h,2-s,2-v,3-h,3-s,3-v,4-h,4-s,4-v
474,96,255,255,0,255,255,95,255,255,96,255,255
475,97,255,255,0,255,255,95,255,255,96,255,255
476,97,255,255,0,255,255,95,255,255,96,255,255
477,97,255,255,0,255,255,95,255,255,96,255,255
478,96,255,255,0,255,255,95,255,255,96,255,255
479,96,255,255,0,255,255,95,255,255,96,255,255
480,96,255,255,0,255,255,95,255,255,95,255,255
481,97,255,255,0,255,255,95,255,255,95,255,255
482,97,255,255,0,255,255,95,255,255,95,255,255
483,97,255,255,0,255,255,95,255,255,95,255,255
484,97,255,255,0,255,255,95,255,255,95,255,255
485,97,255,255,90,255,255,95,255,255,95,255,255
486,97,255,255,90,255,255,95,255,255,95,255,255
487,97,255,255,90,255,255,95,255,255,95,255,255
488,97,255,255,90,255,255,95,255,255,94,255,255
489,97,255,255,0,255,255,94,255,255,95,255,255
490,97,255,255,90,255,255,95,255,255,95,255,255
491,97,255,255,0,255,255,95,255,255,95,255,255
492,97,255,255,90,255,255,95,255,255,95,255,255
493,97,255,255,0,255,255,94,255,255,95,255,255
494,96,255,255,0,255,255,95,255,255,96,255,255
495,96,255,255,0,255,255,96,255,255,94,255,255
496,96,255,255,0,255,255,95,255,255,96,255,255
497,97,255,255,0,255,255,94,255,255,93,255,255
498,96,255,255,0,255,255,95,255,255,93,255,255
499,96,255,255,0,255,255,94,255,255,94,255,255
500,97,255,255,0,255,255,95,255,255,95,255,255
501,97,255,255,0,255,255,96,255,255,95,255,255
502,96,255,255,0,255,255,96,255,255,95,255,255
503,96,255,255,0,255,255,95,255,255,95,255,255
504,96,255,255,0,255,255,95,255,255,95,255,255
505,96,255,255,0,255,255,95,255,255,95,255,255
506,96,255,255,0,255,255,94,255,255,95,255,255
507,95,255,255,90,255,255,95,255,255,95,255,255
508,95,255,255,0,255,255,95,255,255,95,255,255
509,97,255,255,90,255,255,95,255,255,96,255,255
510,97,255,255,90,255,255,95,255,255,95,255,255
511,97,255,255,90,255,255,95,255,255,95,255,255
512,97,255,255,90,255,255,95,255,255,96,255,255
513,94,255,255,90,255,255,95,255,255,96,255,255
514,97,255,255,90,255,255,95,255,255,95,255,255
515,95,255,255,90,255,255,95,255,255,95,255,255
516,95,255,255,90,255,255,95,255,255,95,255,255
517,94,255,255,90,255,255,95,255,255,95,255,255
518,94,255,255,0,255,255,95,255,255,95,255,255
519,96,255,255,0,255,255,95,255,255,95,255,255
520,95,255,255,0,255,255,96,255,255,95,255,255
521,95,255,255,0,255,255,96,255,255,96,255,255
522,97,255,255,0,255,255,96,255,255,96,255,255
523,97,255,255,0,255,255,96,255,255,96,255,255
524,97,255,255,0,255,255,96,255,255,95,255,255
525,97,255,255,0,255,255,96,255,255,95,255,255
